cell_ID	tissue	background	total_counts	mitochondrial_fraction	cell_type	cluster	tsne_x	tsne_y
120864470392164	spleen	human	10720	0.02882462686567164	CLEC10A- cDC2	4	-1.4329162971113503	5.160839105528463
120864470846764	spleen	human	8140	0.03845208845208845	CLEC10A- cDC2	4	7.826403406050538	10.487628875831282
120864470882091	spleen	human	11743	0.021204121604360044	cDC1	2	-3.1973342405683036	-24.71577661303287
120864485009252	spleen	human	9833	0.02969592189565748	CLEC10A+ cDC2	1	-10.290613367201132	-1.2107057702767356
120864485588195	spleen	human	12993	0.01847148464557839	cDC1	5	0.15924824234102897	-19.454351415234637
120864497363813	spleen	human	10144	0.02730678233438486	CLEC10A+ cDC2	1	-2.990257387320201	0.19620819948725043
120864497612652	spleen	human	11400	0.02456140350877193	CCR7+ cDC2	8	-13.568330351444564	9.569862354494736
120864498116523	spleen	human	10263	0.01968235408749878	cDC1	2	-2.4558755541756065	-25.070885336733674
120864516468067	spleen	human	10262	0.022217891249269147	CLEC10A+ cDC2	1	-6.8351964969104975	8.153502573665627
120864516557235	spleen	human	7257	0.07027697395618024	CLEC10A- cDC2	3	16.722000422008936	3.88235257874431
120864516786092	spleen	human	10235	0.028627259404005862	CLEC10A+ cDC2	7	-9.451379832172877	9.118125705035649
120864516815773	spleen	human	11333	0.024353657460513545	CLEC10A+ cDC2	1	-2.105466258687786	-1.147124965267218
121202296081838	spleen	human	10106	0.020581832574708095	CLEC10A+ cDC2	0	0.6638435698511425	14.004601895858015
121202296342965	spleen	human	9598	0.029068555949156073	CLEC10A+ cDC2	0	-5.674692019296492	16.265729678785817
121202296678125	spleen	human	11112	0.04535637149028078	CLEC10A+ cDC2	0	-5.700497944934977	16.089797244147213
121202310826341	spleen	human	10183	0.026907591083177845	CLEC10A+ cDC2	0	-1.8382516373713367	19.626799636619648
121202311097573	spleen	human	9806	0.03202121150316133	CLEC10A- cDC2	4	6.561915198140261	9.72222219974178
121202323442606	spleen	human	9254	0.03490382537281176	CLEC10A+ cDC2	1	-4.097355785665986	-3.0640894785190396
121202323446643	spleen	human	10986	0.02248316038594575	cDC1	2	-1.2652060723066347	-26.414019838987635
121202323634028	spleen	human	10063	0.021365397992646327	CLEC10A+ cDC2	1	-4.323818653286003	-0.5404673824317401
121202323867884	spleen	human	8395	0.02549136390708755	AS DC	6	3.0741679441659913	-0.5301977948807659
121202323973981	spleen	human	11791	0.02688491222118565	CLEC10A+ cDC2	1	-2.232205609278327	-2.264166729165784
121202324228835	spleen	human	8111	0.026014054987054617	AS DC	6	12.374185798121974	0.5895073017465243
121202342291310	spleen	human	8110	0.061528976572133166	CLEC10A- cDC2	3	15.700012435137166	6.510100353014209
121202342579574	spleen	human	8394	0.030140576602335	CLEC10A- cDC2	3	15.521484302911494	2.4864621021970446
121276786927851	spleen	human	12496	0.024727912932138284	CLEC10A+ cDC2	0	-6.438168311283877	11.786564747534777
121276787023134	spleen	human	14151	0.024097236944385557	Mitotic cDC1	9	1.3185092335582003	-15.54489754771835
121276801665245	spleen	human	8536	0.021438612933458293	CLEC10A+ cDC2	1	-4.927308192667286	-0.4198070324837937
121276801706723	spleen	human	10688	0.030407934131736526	CLEC10A+ cDC2	0	-2.1854199319342373	8.759545284300849
121276814477158	spleen	human	9301	0.025373615740242984	CLEC10A+ cDC2	1	-8.47748198947832	0.6024215404850051
121276833647019	spleen	human	10560	0.026231060606060605	CCR7+ cDC2	8	-14.891876679657566	9.93579887310463
121276833909547	spleen	human	10855	0.020635651773376323	cDC1	5	-3.0955923801358423	-18.108158501923473
121319736920349	spleen	human	9763	0.03134282495134692	CLEC10A- cDC2	4	8.541726615423656	6.417021702424375
121319737408294	spleen	human	9779	0.02965538398609265	CLEC10A+ cDC2	0	-3.774261462171566	9.975234288999058
121319751596844	spleen	human	8920	0.030605381165919283	CLEC10A+ cDC2	1	0.02169819902885326	3.801624906456031
121319752066989	spleen	human	11307	0.02237551958963474	cDC1	2	-3.812183150002079	-24.30897016445295
121319783062774	spleen	human	6429	0.028775859387151968	CLEC10A- cDC2	4	9.551317648175493	10.270098259778926
121319783255347	spleen	human	8792	0.02945859872611465	CLEC10A+ cDC2	0	-4.908442215728537	5.666205755013431
121337990465837	spleen	human	9149	0.0303858345174336	CLEC10A+ cDC2	1	-8.93652105193174	1.9635333934692274
121337990822261	spleen	human	9724	0.024681201151789386	CLEC10A- cDC2	4	0.27762289007531293	4.831614998182964
121337990834404	spleen	human	8224	0.023589494163424124	CLEC10A+ cDC2	0	-0.8200875289661286	16.345099755197843
121338004949349	spleen	human	11386	0.028016862813982083	CLEC10A+ cDC2	7	-8.715731091587896	14.689898801895515
121338005469917	spleen	human	8330	0.043817527010804325	CLEC10A- cDC2	4	6.508182326881865	10.164852415690943
121338005473133	spleen	human	8695	0.03346751006325474	CLEC10A+ cDC2	0	-2.6987340400122495	14.050510757345249
121338017470877	spleen	human	10832	0.026864844903988182	CLEC10A- cDC2	4	-0.8807572375234504	6.8631138713240105
121338017531637	spleen	human	9206	0.023897458179448185	CLEC10A- cDC2	3	12.477186091814401	8.730778349557799
121338017535780	spleen	human	9920	0.029939516129032256	AS DC	6	7.017973432500487	-2.7255394718830632
121338018020077	spleen	human	11733	0.019432370237790847	CLEC10A+ cDC2	1	-9.231559168127887	-2.7912068300609727
121338036410605	spleen	human	11775	0.017664543524416137	cDC1	5	-1.9725473894713825	-21.95269443261387
121338037169053	spleen	human	10190	0.03316977428851815	CLEC10A+ cDC2	7	-12.34500849113042	14.06589045755818
121338037226267	spleen	human	8821	0.042398820995352	CLEC10A- cDC2	3	15.51626038544289	2.135080716566557
121338037233901	spleen	human	8507	0.03303162101798519	CLEC10A- cDC2	3	15.294214682812308	2.2315489170965894
121339869555612	spleen	human	7054	0.04267082506379359	CLEC10A- cDC2	3	17.88351118248926	7.288966651288045
121339896576869	spleen	human	6972	0.03270223752151463	CLEC10A- cDC2	4	8.895917671270338	10.384632196616726
121339897044381	spleen	human	8424	0.023148148148148147	CLEC10A+ cDC2	0	-12.11859855221821	6.9228472509966945
121339897333558	spleen	human	11193	0.024300902349682837	CLEC10A+ cDC2	0	-6.696417872175622	11.443318826524191
121339916241756	spleen	human	8523	0.036137510266338144	CLEC10A+ cDC2	0	-1.3939943398175587	19.41826700629427
121339916244700	spleen	human	13215	0.018615209988649264	cDC1	5	-0.18180266593295175	-19.04643865867054
121742656760667	spleen	human	7017	0.04745617785378367	CLEC10A+ cDC2	7	-7.6218700744829935	18.46890954978467
121742657435550	spleen	human	7519	0.02580130336480915	AS DC	6	0.5590203049889502	-1.6457969109459605
121742657448219	spleen	human	14987	0.023153399612997932	Mitotic cDC1	9	2.071273191344057	-16.68536556766079
121742671625462	spleen	human	10480	0.019561068702290078	CLEC10A+ cDC2	0	-10.030282748426089	13.129774050595815
121742671695206	spleen	human	14338	0.022248570232947414	cDC1	5	0.17473349795498902	-19.742881915805043
121742672218979	spleen	human	11123	0.02328508495909377	CLEC10A- cDC2	4	4.5811948189768	4.78283161441316
121742684277470	spleen	human	12103	0.02437412211848302	cDC1	2	0.7150017779649899	-23.566570780565392
121742702799668	spleen	human	12362	0.022892735803268078	CLEC10A+ cDC2	1	-0.5615462724078146	-2.195533214024089
121742703606507	spleen	human	8559	0.029442691903259727	CLEC10A+ cDC2	1	-10.50454680418743	1.2031936394317366
121742703651620	spleen	human	11755	0.024755423224159932	Mitotic cDC1	9	1.8955244673989182	-17.07314106619917
121812449937205	spleen	human	8397	0.022984399190186973	AS DC	6	10.99941267846476	0.48476095711026024
121812450430316	spleen	human	10485	0.022889842632331903	AS DC	6	5.181146662366802	-0.8608182425743893
121812464814949	spleen	human	9453	0.030889664656722732	CLEC10A+ cDC2	1	-11.046770375024453	-0.5755259996217784
121812477699891	spleen	human	11968	0.03409090909090909	CLEC10A+ cDC2	1	-1.0771849354236118	-2.022602476140966
121812496836469	spleen	human	8314	0.0371662256434929	CLEC10A+ cDC2	0	-6.532119278804997	8.785975630654765
121812496861486	spleen	human	12323	0.020611863994157268	cDC1	5	-0.4378744823067616	-22.268882723818482
121826140122350	spleen	human	7711	0.026585397484113604	CLEC10A- cDC2	3	14.89018105160201	0.17350908365414394
121826140667108	spleen	human	7969	0.028359894591542225	CLEC10A+ cDC2	1	-10.38558805393968	-1.5805545730696062
121826140941148	spleen	human	7752	0.023735810113519093	CLEC10A+ cDC2	0	-0.8774754502636661	9.5251905163669
121826155092764	spleen	human	10124	0.032497036744369816	CLEC10A+ cDC2	1	-6.569637060314451	-3.8680254511257597
121826155379046	spleen	human	11151	0.031476997578692496	CLEC10A+ cDC2	0	-8.736660684351952	13.186256846028481
121826155584244	spleen	human	10103	0.02395328120360289	cDC1	2	-3.9664035051980493	-26.926177280914928
121826167909212	spleen	human	9923	0.023883906076791292	CLEC10A+ cDC2	1	-7.575840189797367	-2.7487843319766774
121826168133876	spleen	human	7603	0.040904905958174406	CLEC10A- cDC2	3	18.618274580772777	5.1171976521310745
121826186221939	spleen	human	8443	0.027952149709818786	CLEC10A+ cDC2	1	-11.931275911118236	-1.3968685123701374
121879156092126	spleen	human	11202	0.021246206034636672	cDC1	5	2.09765295102721	-22.428968127824774
121879156378420	spleen	human	11033	0.01749297561859875	cDC1	2	-1.8065246668260526	-22.016716729255702
121879156442933	spleen	human	10853	0.02893209250898369	CLEC10A+ cDC2	0	2.3394626334946387	7.754027530917443
121879156943076	spleen	human	11799	0.028307483685058057	CLEC10A+ cDC2	1	-4.120079800014957	-1.8193695252892839
121879171059100	spleen	human	8796	0.028308321964529332	cDC1	2	-1.285393257405703	-29.246431720642384
121879171389670	spleen	human	6631	0.0345347609711959	CLEC10A+ cDC2	0	1.122112817252544	14.732332470017191
121879183375275	spleen	human	10654	0.01736437018960015	cDC1	5	-4.614079844291455	-20.394908788642873
121879202483108	spleen	human	10155	0.03052683407188577	CCR7+ cDC2	8	-11.66788598853611	7.188793339895021
121879202809772	spleen	human	10289	0.02935173486247449	CLEC10A+ cDC2	0	-4.223921214988987	19.614937809746078
